detuning,seed,rank_count,check_index,grouped_index,kind,ancilla,weight,data_neighbors,toggling_z_expectation,disagreement_probability
m50,29,12,1,1,X,1,2,4;5,0.97835511566505207,0.010822442167473967
m50,29,12,2,2,X,2,2,6;7,0.98282472452003711,0.0085876377399814463
m50,29,12,3,3,X,3,2,8;9,0.98125447098073926,0.0093727645096303713
m50,29,12,4,31,Z,11,4,4;5;18;19,0.94498619688865859,0.027506901555670704
m50,29,12,5,13,X,12,4,5;6;19;20,0.97206908907167966,0.01396545546416017
m50,29,12,6,32,Z,13,4,6;7;20;21,0.96323940090557569,0.018380299547212153
m50,29,12,7,14,X,14,4,7;8;21;22,0.97825901532141679,0.010870492339291604
m50,29,12,8,33,Z,15,4,8;9;22;23,0.97397778230703558,0.013011108846482211
m50,29,12,9,15,X,16,4,9;10;23;24,0.98639776474026386,0.0068011176298680698
m50,29,12,10,7,Z,17,2,10;24,0.98009910233509989,0.009950448832450054
m50,29,12,11,8,Z,25,2,18;32,0.98148739459592038,0.0092563027020398092
m50,29,12,12,16,X,26,4,18;19;32;33,0.98198854162134597,0.0090057291893270164
m50,29,12,13,34,Z,27,4,19;20;33;34,0.97578396581635285,0.012108017091823575
m50,29,12,14,17,X,28,4,20;21;34;35,0.96963978129252504,0.015180109353737481
m50,29,12,15,35,Z,29,4,21;22;35;36,0.98857930584308573,0.0057103470784571342
m50,29,12,16,18,X,30,4,22;23;36;37,0.97624659729218355,0.011876701353908226
m50,29,12,17,36,Z,31,4,23;24;37;38,0.96114994510369145,0.019425027448154275
m50,29,12,18,37,Z,39,4,32;33;46;47,0.95435314245779268,0.02282342877110366
m50,29,12,19,19,X,40,4,33;34;47;48,0.97188952603382028,0.014055236983089858
m50,29,12,20,38,Z,41,4,34;35;48;49,0.95527659720775637,0.022361701396121814
m50,29,12,21,20,X,42,4,35;36;49;50,0.95745492817636879,0.021272535911815604
m50,29,12,22,39,Z,43,4,36;37;50;51,0.96872214271588175,0.015638928642059124
m50,29,12,23,21,X,44,4,37;38;51;52,0.98794916132556831,0.0060254193372158427
m50,29,12,24,9,Z,45,2,38;52,0.99210460141547674,0.0039476992922616305
m50,29,12,25,10,Z,53,2,46;60,0.98451855902756247,0.0077407204862187662
m50,29,12,26,22,X,54,4,46;47;60;61,0.95137935026108122,0.024310324869459388
m50,29,12,27,40,Z,55,4,47;48;61;62,0.96480463809703454,0.01759768095148273
m50,29,12,28,23,X,56,4,48;49;62;63,0.95082463897567915,0.024587680512160426
m50,29,12,29,41,Z,57,4,49;50;63;64,0.97790492010106078,0.011047539949469609
m50,29,12,30,24,X,58,4,50;51;64;65,0.98905738755935879,0.0054713062203206042
m50,29,12,31,42,Z,59,4,51;52;65;66,0.96635121992162332,0.016824390039188342
m50,29,12,32,43,Z,67,4,60;61;74;75,0.95463962912936329,0.022680185435318356
m50,29,12,33,25,X,68,4,61;62;75;76,0.96730135505159176,0.01634932247420412
m50,29,12,34,44,Z,69,4,62;63;76;77,0.97217962982878892,0.013910185085605542
m50,29,12,35,26,X,70,4,63;64;77;78,0.9642264546959789,0.017886772652010552
m50,29,12,36,45,Z,71,4,64;65;78;79,0.97726072831800559,0.011369635840997205
m50,29,12,37,27,X,72,4,65;66;79;80,0.9599056998513178,0.020047150074341102
m50,29,12,38,11,Z,73,2,66;80,0.97304530576299364,0.01347734711850318
m50,29,12,39,12,Z,81,2,74;88,0.96965683318274454,0.015171583408627731
m50,29,12,40,28,X,82,4,74;75;88;89,0.97471366318039321,0.012643168409803396
m50,29,12,41,46,Z,83,4,75;76;89;90,0.96934487118344359,0.015327564408278205
m50,29,12,42,29,X,84,4,76;77;90;91,0.97719352366347023,0.011403238168264884
m50,29,12,43,47,Z,85,4,77;78;91;92,0.95415873807819229,0.022920630960903854
m50,29,12,44,30,X,86,4,78;79;92;93,0.97813463086321506,0.01093268456839247
m50,29,12,45,48,Z,87,4,79;80;93;94,0.98177468112521127,0.0091126594373943659
m50,29,12,46,4,X,95,2,89;90,0.98529014551382321,0.0073549272430883939
m50,29,12,47,5,X,96,2,91;92,0.99074600229430188,0.0046269988528490624
m50,29,12,48,6,X,97,2,93;94,0.99247775409157168,0.0037611229542141578
m25,28,24,1,1,X,1,2,4;5,0.98242439605060095,0.0087878019746995273
m25,28,24,2,2,X,2,2,6;7,0.98460120376073934,0.0076993981196303296
m25,28,24,3,3,X,3,2,8;9,0.98413742207649524,0.0079312889617523807
m25,28,24,4,31,Z,11,4,4;5;18;19,0.94990976923347425,0.025045115383262873
m25,28,24,5,13,X,12,4,5;6;19;20,0.97332954453886256,0.013335227730568722
m25,28,24,6,32,Z,13,4,6;7;20;21,0.96711458857885846,0.016442705710570771
m25,28,24,7,14,X,14,4,7;8;21;22,0.97947074409860047,0.010264627950699767
m25,28,24,8,33,Z,15,4,8;9;22;23,0.97918413667754067,0.010407931661229664
m25,28,24,9,15,X,16,4,9;10;23;24,0.98622564314310557,0.0068871784284472159
m25,28,24,10,7,Z,17,2,10;24,0.98410054411063286,0.0079497279446835711
m25,28,24,11,8,Z,25,2,18;32,0.98153170667220313,0.0092341466638984349
m25,28,24,12,16,X,26,4,18;19;32;33,0.98059973426287694,0.0097001328685615285
m25,28,24,13,34,Z,27,4,19;20;33;34,0.97779800273035289,0.011100998634823556
m25,28,24,14,17,X,28,4,20;21;34;35,0.97120845500346964,0.01439577249826518
m25,28,24,15,35,Z,29,4,21;22;35;36,0.99102379980844157,0.0044881000957792128
m25,28,24,16,18,X,30,4,22;23;36;37,0.97709631724360235,0.011451841378198824
m25,28,24,17,36,Z,31,4,23;24;37;38,0.96523981928846803,0.017380090355765987
m25,28,24,18,37,Z,39,4,32;33;46;47,0.95557275613940207,0.022213621930298966
m25,28,24,19,19,X,40,4,33;34;47;48,0.972475134518059,0.013762432740970498
m25,28,24,20,38,Z,41,4,34;35;48;49,0.95828569907161865,0.020857150464190677
m25,28,24,21,20,X,42,4,35;36;49;50,0.95691539742065435,0.021542301289672827
m25,28,24,22,39,Z,43,4,36;37;50;51,0.97233002759603349,0.013834986201983257
m25,28,24,23,21,X,44,4,37;38;51;52,0.98665916064074644,0.0066704196796267823
m25,28,24,24,9,Z,45,2,38;52,0.99165513600969968,0.0041724319951501609
m25,28,24,25,10,Z,53,2,46;60,0.98741295560487219,0.0062935221975639055
m25,28,24,26,22,X,54,4,46;47;60;61,0.94913152167040005,0.025434239164799977
m25,28,24,27,40,Z,55,4,47;48;61;62,0.96832615239211406,0.015836923803942971
m25,28,24,28,23,X,56,4,48;49;62;63,0.94779028105203778,0.026104859473981112
m25,28,24,29,41,Z,57,4,49;50;63;64,0.98068531520955549,0.009657342395222257
m25,28,24,30,24,X,58,4,50;51;64;65,0.98923080474437686,0.0053845976278115715
m25,28,24,31,42,Z,59,4,51;52;65;66,0.96874604244908791,0.015626978775456046
m25,28,24,32,43,Z,67,4,60;61;74;75,0.95719819652376481,0.021400901738117595
m25,28,24,33,25,X,68,4,61;62;75;76,0.96746432887330613,0.016267835563346933
m25,28,24,34,44,Z,69,4,62;63;76;77,0.97580217804060587,0.012098910979697064
m25,28,24,35,26,X,70,4,63;64;77;78,0.96435414499011773,0.017822927504941133
m25,28,24,36,45,Z,71,4,64;65;78;79,0.97853756779016177,0.010731216104919117
m25,28,24,37,27,X,72,4,65;66;79;80,0.95781630631833647,0.021091846840831763
m25,28,24,38,11,Z,73,2,66;80,0.97597033447463832,0.012014832762680838
m25,28,24,39,12,Z,81,2,74;88,0.9724350508410633,0.013782474579468351
m25,28,24,40,28,X,82,4,74;75;88;89,0.97398412955383784,0.01300793522308108
m25,28,24,41,46,Z,83,4,75;76;89;90,0.97389093249511594,0.013054533752442032
m25,28,24,42,29,X,84,4,76;77;90;91,0.9767187182115612,0.011640640894219401
m25,28,24,43,47,Z,85,4,77;78;91;92,0.95900943064432786,0.020495284677836068
m25,28,24,44,30,X,86,4,78;79;92;93,0.97795172816553566,0.01102413591723217
m25,28,24,45,48,Z,87,4,79;80;93;94,0.98340467133083109,0.0082976643345844536
m25,28,24,46,4,X,95,2,89;90,0.98487277826918451,0.0075636108654077439
m25,28,24,47,5,X,96,2,91;92,0.9907784794591572,0.004610760270421399
m25,28,24,48,6,X,97,2,93;94,0.99227204135201963,0.0038639793239901854
0,28,24,1,1,X,1,2,4;5,0.9860488964050711,0.0069755517974644521
0,28,24,2,2,X,2,2,6;7,0.98478753699977561,0.0076062315001121927
0,28,24,3,3,X,3,2,8;9,0.98492920001551454,0.0075353999922427306
0,28,24,4,31,Z,11,4,4;5;18;19,0.95391677332277602,0.023041613338611988
0,28,24,5,13,X,12,4,5;6;19;20,0.97512465660385828,0.012437671698070862
0,28,24,6,32,Z,13,4,6;7;20;21,0.96889580252212282,0.015552098738938591
0,28,24,7,14,X,14,4,7;8;21;22,0.98131183147411816,0.0093440842629409215
0,28,24,8,33,Z,15,4,8;9;22;23,0.98023040924315807,0.009884795378420963
0,28,24,9,15,X,16,4,9;10;23;24,0.98509531150603658,0.0074523442469817125
0,28,24,10,7,Z,17,2,10;24,0.98525941858695998,0.0073702907065200107
0,28,24,11,8,Z,25,2,18;32,0.98555376880931966,0.0072231155953401682
0,28,24,12,16,X,26,4,18;19;32;33,0.98515101772555591,0.0074244911372220446
0,28,24,13,34,Z,27,4,19;20;33;34,0.97935978160448944,0.010320109197755278
0,28,24,14,17,X,28,4,20;21;34;35,0.97328281049526788,0.01335859475236606
0,28,24,15,35,Z,29,4,21;22;35;36,0.99060381818021381,0.0046980909098930934
0,28,24,16,18,X,30,4,22;23;36;37,0.97788822603851666,0.011055886980741669
0,28,24,17,36,Z,31,4,23;24;37;38,0.96757292457999855,0.016213537710000725
0,28,24,18,37,Z,39,4,32;33;46;47,0.95891553140885122,0.020542234295574391
0,28,24,19,19,X,40,4,33;34;47;48,0.97500904133726385,0.012495479331368076
0,28,24,20,38,Z,41,4,34;35;48;49,0.96023078548706331,0.019884607256468345
0,28,24,21,20,X,42,4,35;36;49;50,0.9602961072366496,0.019851946381675201
0,28,24,22,39,Z,43,4,36;37;50;51,0.97430291692727466,0.012848541536362668
0,28,24,23,21,X,44,4,37;38;51;52,0.98717760802541821,0.0064111959872908963
0,28,24,24,9,Z,45,2,38;52,0.99392944063028554,0.0030352796848572283
0,28,24,25,10,Z,53,2,46;60,0.98938433595708597,0.0053078320214570152
0,28,24,26,22,X,54,4,46;47;60;61,0.95175712981380722,0.024121435093096388
0,28,24,27,40,Z,55,4,47;48;61;62,0.97072582321874856,0.014637088390625719
0,28,24,28,23,X,56,4,48;49;62;63,0.95173408873065402,0.024132955634672992
0,28,24,29,41,Z,57,4,49;50;63;64,0.98157592644546154,0.009212036777269228
0,28,24,30,24,X,58,4,50;51;64;65,0.98926190778839951,0.0053690461058002459
0,28,24,31,42,Z,59,4,51;52;65;66,0.97022569019166938,0.014887154904165312
0,28,24,32,43,Z,67,4,60;61;74;75,0.96208766145856706,0.018956169270716472
0,28,24,33,25,X,68,4,61;62;75;76,0.97084104057311005,0.014579479713444976
0,28,24,34,44,Z,69,4,62;63;76;77,0.97764316798480744,0.011178416007596281
0,28,24,35,26,X,70,4,63;64;77;78,0.96734609992179854,0.016326950039100729
0,28,24,36,45,Z,71,4,64;65;78;79,0.98012060400314893,0.009939697998425534
0,28,24,37,27,X,72,4,65;66;79;80,0.95835227205775508,0.020823863971122458
0,28,24,38,11,Z,73,2,66;80,0.97793531332978034,0.011032343335109829
0,28,24,39,12,Z,81,2,74;88,0.97544926097314644,0.012275369513426782
0,28,24,40,28,X,82,4,74;75;88;89,0.97530198603565643,0.012349006982171784
0,28,24,41,46,Z,83,4,75;76;89;90,0.976405051925886,0.011797474037056999
0,28,24,42,29,X,84,4,76;77;90;91,0.97643711247044684,0.011781443764776578
0,28,24,43,47,Z,85,4,77;78;91;92,0.95932228645176254,0.02033885677411873
0,28,24,44,30,X,86,4,78;79;92;93,0.97927061420744832,0.01036469289627584
0,28,24,45,48,Z,87,4,79;80;93;94,0.98294208238844938,0.0085289588057753107
0,28,24,46,4,X,95,2,89;90,0.9842619526533618,0.0078690236733190977
0,28,24,47,5,X,96,2,91;92,0.99041165921914887,0.0047941703904255673
0,28,24,48,6,X,97,2,93;94,0.99179905493471665,0.0041004725326416747
p25,28,12,1,1,X,1,2,4;5,0.98761834881181099,0.0061908255940945067
p25,28,12,2,2,X,2,2,6;7,0.98368039997997647,0.008159800010011764
p25,28,12,3,3,X,3,2,8;9,0.98454592576469036,0.0077270371176548225
p25,28,12,4,31,Z,11,4,4;5;18;19,0.95657275421397325,0.021713622893013373
p25,28,12,5,13,X,12,4,5;6;19;20,0.97543384377970044,0.012283078110149781
p25,28,12,6,32,Z,13,4,6;7;20;21,0.97140133263290107,0.014299333683549464
p25,28,12,7,14,X,14,4,7;8;21;22,0.98138254609592945,0.0093087269520352733
p25,28,12,8,33,Z,15,4,8;9;22;23,0.98204270837520924,0.0089786458123953805
p25,28,12,9,15,X,16,4,9;10;23;24,0.98477613165003297,0.0076119341749835145
p25,28,12,10,7,Z,17,2,10;24,0.98643385777412596,0.0067830711129370225
p25,28,12,11,8,Z,25,2,18;32,0.98400396929259049,0.0079980153537047571
p25,28,12,12,16,X,26,4,18;19;32;33,0.98541926578149508,0.0072903671092524602
p25,28,12,13,34,Z,27,4,19;20;33;34,0.97926220177961032,0.01036889911019484
p25,28,12,14,17,X,28,4,20;21;34;35,0.97485923397516627,0.012570383012416864
p25,28,12,15,35,Z,29,4,21;22;35;36,0.99038984172323552,0.00480507913838224
p25,28,12,16,18,X,30,4,22;23;36;37,0.9787545023228198,0.010622748838590101
p25,28,12,17,36,Z,31,4,23;24;37;38,0.96937174720829178,0.015314126395854111
p25,28,12,18,37,Z,39,4,32;33;46;47,0.95934344574157404,0.020328277129212979
p25,28,12,19,19,X,40,4,33;34;47;48,0.97710779981006846,0.011446100094965772
p25,28,12,20,38,Z,41,4,34;35;48;49,0.96277290149697459,0.018613549251512707
p25,28,12,21,20,X,42,4,35;36;49;50,0.96132213902231101,0.019338930488844497
p25,28,12,22,39,Z,43,4,36;37;50;51,0.97576803605750551,0.012115981971247247
p25,28,12,23,21,X,44,4,37;38;51;52,0.98616297939453779,0.0069185103027311068
p25,28,12,24,9,Z,45,2,38;52,0.99238295701458012,0.0038085214927099376
p25,28,12,25,10,Z,53,2,46;60,0.99161820780071808,0.0041908960996409617
p25,28,12,26,22,X,54,4,46;47;60;61,0.95211128658018851,0.023944356709905745
p25,28,12,27,40,Z,55,4,47;48;61;62,0.97238546737256748,0.01380726631371626
p25,28,12,28,23,X,56,4,48;49;62;63,0.95065812518610426,0.024670937406947868
p25,28,12,29,41,Z,57,4,49;50;63;64,0.98228773993756091,0.0088561300312195446
p25,28,12,30,24,X,58,4,50;51;64;65,0.98939568521641075,0.0053021573917946263
p25,28,12,31,42,Z,59,4,51;52;65;66,0.97084434447105239,0.014577827764473805
p25,28,12,32,43,Z,67,4,60;61;74;75,0.9630636190302958,0.018468190484852098
p25,28,12,33,25,X,68,4,61;62;75;76,0.97273708771215894,0.013631456143920528
p25,28,12,34,44,Z,69,4,62;63;76;77,0.97929526030382508,0.010352369848087462
p25,28,12,35,26,X,70,4,63;64;77;78,0.96577219606600151,0.017113901966999245
p25,28,12,36,45,Z,71,4,64;65;78;79,0.98168347215886298,0.0091582639205685101
p25,28,12,37,27,X,72,4,65;66;79;80,0.9580169073237258,0.020991546338137101
p25,28,12,38,11,Z,73,2,66;80,0.97950723309790133,0.010246383451049335
p25,28,12,39,12,Z,81,2,74;88,0.97738068180175397,0.011309659099123015
p25,28,12,40,28,X,82,4,74;75;88;89,0.97384865273035637,0.013075673634821816
p25,28,12,41,46,Z,83,4,75;76;89;90,0.97895044982001178,0.010524775089994109
p25,28,12,42,29,X,84,4,76;77;90;91,0.97573217212551722,0.012133913937241392
p25,28,12,43,47,Z,85,4,77;78;91;92,0.96132815251276305,0.019335923743618477
p25,28,12,44,30,X,86,4,78;79;92;93,0.98069052355472242,0.0096547382226387923
p25,28,12,45,48,Z,87,4,79;80;93;94,0.98256523058028078,0.0087173847098596102
p25,28,12,46,4,X,95,2,89;90,0.98423658164798078,0.0078817091760096103
p25,28,12,47,5,X,96,2,91;92,0.99068075405775913,0.0046596229711204362
p25,28,12,48,6,X,97,2,93;94,0.99154628115429921,0.0042268594228503931
p50,28,24,1,1,X,1,2,4;5,0.9912102287512039,0.0043948856243980483
p50,28,24,2,2,X,2,2,6;7,0.98091188422452225,0.0095440578877388771
p50,28,24,3,3,X,3,2,8;9,0.98303599063420899,0.0084820046828955054
p50,28,24,4,31,Z,11,4,4;5;18;19,0.96586340129790083,0.017068299351049587
p50,28,24,5,13,X,12,4,5;6;19;20,0.97648794538972405,0.011756027305137973
p50,28,24,6,32,Z,13,4,6;7;20;21,0.97331410523926121,0.013342947380369397
p50,28,24,7,14,X,14,4,7;8;21;22,0.98234191491777489,0.0088290425411125528
p50,28,24,8,33,Z,15,4,8;9;22;23,0.98274966415161347,0.0086251679241932666
p50,28,24,9,15,X,16,4,9;10;23;24,0.98409293570505818,0.0079535321474709098
p50,28,24,10,7,Z,17,2,10;24,0.98715476859545903,0.0064226157022704844
p50,28,24,11,8,Z,25,2,18;32,0.98787649593198712,0.0060617520340064401
p50,28,24,12,16,X,26,4,18;19;32;33,0.98756532462447721,0.0062173376877613928
p50,28,24,13,34,Z,27,4,19;20;33;34,0.97789954155219594,0.011050229223902031
p50,28,24,14,17,X,28,4,20;21;34;35,0.97635289671533121,0.011823551642334396
p50,28,24,15,35,Z,29,4,21;22;35;36,0.98738018331055977,0.0063099083447201165
p50,28,24,16,18,X,30,4,22;23;36;37,0.9794043086701828,0.0102978456649086
p50,28,24,17,36,Z,31,4,23;24;37;38,0.96984271807655442,0.015078640961722789
p50,28,24,18,37,Z,39,4,32;33;46;47,0.96183017597245257,0.019084912013773714
p50,28,24,19,19,X,40,4,33;34;47;48,0.97836239326558327,0.010818803367208363
p50,28,24,20,38,Z,41,4,34;35;48;49,0.96320831211723734,0.018395843941381329
p50,28,24,21,20,X,42,4,35;36;49;50,0.96200710461818351,0.018996447690908247
p50,28,24,22,39,Z,43,4,36;37;50;51,0.97512463891465873,0.012437680542670637
p50,28,24,23,21,X,44,4,37;38;51;52,0.98725154611965238,0.0063742269401738105
p50,28,24,24,9,Z,45,2,38;52,0.99137052335319031,0.0043147383234048431
p50,28,24,25,10,Z,53,2,46;60,0.99347559736872215,0.003262201315638924
p50,28,24,26,22,X,54,4,46;47;60;61,0.95269316941704607,0.023653415291476965
p50,28,24,27,40,Z,55,4,47;48;61;62,0.97320830999106456,0.013395845004467721
p50,28,24,28,23,X,56,4,48;49;62;63,0.95212492496011503,0.023937537519942487
p50,28,24,29,41,Z,57,4,49;50;63;64,0.98082051525103919,0.0095897423744804033
p50,28,24,30,24,X,58,4,50;51;64;65,0.98858319686467799,0.0057084015676610034
p50,28,24,31,42,Z,59,4,51;52;65;66,0.97026068943211963,0.014869655283940186
p50,28,24,32,43,Z,67,4,60;61;74;75,0.96602249125632023,0.016988754371839887
p50,28,24,33,25,X,68,4,61;62;75;76,0.97416086279935243,0.012919568600323783
p50,28,24,34,44,Z,69,4,62;63;76;77,0.97926926135789705,0.010365369321051476
p50,28,24,35,26,X,70,4,63;64;77;78,0.96688327426751175,0.016558362866244125
p50,28,24,36,45,Z,71,4,64;65;78;79,0.98103230523898644,0.0094838473805067824
p50,28,24,37,27,X,72,4,65;66;79;80,0.95814880568083838,0.020925597159580811
p50,28,24,38,11,Z,73,2,66;80,0.97993809267495535,0.010030953662522324
p50,28,24,39,12,Z,81,2,74;88,0.97929210433713798,0.01035394783143101
p50,28,24,40,28,X,82,4,74;75;88;89,0.97328846005613856,0.01335576997193072
p50,28,24,41,46,Z,83,4,75;76;89;90,0.97936884539820401,0.010315577300897993
p50,28,24,42,29,X,84,4,76;77;90;91,0.9744423809002275,0.01277880954988625
p50,28,24,43,47,Z,85,4,77;78;91;92,0.95869701549521469,0.020651492252392656
p50,28,24,44,30,X,86,4,78;79;92;93,0.98105795262141371,0.0094710236892931454
p50,28,24,45,48,Z,87,4,79;80;93;94,0.97953755457850167,0.010231222710749166
p50,28,24,46,4,X,95,2,89;90,0.9836098465486387,0.00819507672568065
p50,28,24,47,5,X,96,2,91;92,0.99028432733451555,0.0048578363327422269
p50,28,24,48,6,X,97,2,93;94,0.99133906699510488,0.0043304665024475608
